Industry  Name,Number of firms,Average Company Age (years),Market Cap ($ millions),Book Equity ($ millions),Enteprise Value ($ millions),Invested Capital ($ millions),Total Debt (including leases) ($ millions),Revenues ($ millions),Gross Profit ($ millions),EBITDA ($ millions),EBIT (Operating Income) ($ millions),Net Income ( $ millions)
Machinery,105,70.3956043956044,605113.2509999999,126678.012,673793.2915726517,106796.33227070866,88905.06357265131,196663.0189999999,73696.22099999998,40676.57599999998,31583.658685469738,20804.483999999997
Metals & Mining,73,31.57377049180328,232490.7990000001,36047.91099999999,246076.275294961,67126.63788826134,25538.00129496093,60993.268,21155.17600000001,19579.123000000003,14490.288141007817,6414.491
Office Equipment & Services,14,65.3076923076923,13921.961,4493.673,19475.088997377065,7758.675997377063,6696.807997377065,13584.14,5627.964000000001,2205.031,1477.8454005245874,594.318
Oil/Gas (Integrated),4,112.0,855194.8,451434.5,949835.6440525668,590903.644052567,118401.74405256686,541779.9,195485.2,116358.34,62667.69118948663,44951.6
Oil/Gas (Production and Exploration),142,31.341666666666665,485812.648,290393.75100000016,650185.8501883122,516004.26248659566,182605.43918831323,242372.55399999983,138621.92599999992,124594.52000000005,62590.71476233736,35460.173
Oil/Gas Distribution,23,23.045454545454547,296353.377,78852.768,465615.1704116005,242796.55541160054,173447.1474116006,106504.62000000002,46188.62,39293.57,27751.72091767989,14219.285
Oilfield Svcs/Equip.,97,32.38636363636363,373803.3670000003,176793.67400000012,484741.8489229229,259780.1869229228,139655.26992292283,653862.0730000006,72518.20599999998,54198.96199999998,31686.514415415433,15285.653999999995
Packaging & Container,19,82.66666666666667,115023.747,40505.406,172238.0332730976,76175.59727309753,63389.11727309755,111248.80000000002,27000.23,17696.619999999995,10894.810545380491,4979.626
Paper/Forest Products,6,49.25,8341.766,5406.6,11236.73142499249,6646.96542499249,3644.36542499249,11012.1,1887.1,1373.1,724.4469150015021,379.2
Power,46,85.5909090909091,1073277.747,402641.9999999998,1842037.1490482423,1173473.102048242,795820.9630482423,392272.79999999993,170928.90000000002,147804.28700000004,83773.90439035157,49923.960000000014
Precious Metals,56,32.62222222222222,212091.10700000002,44129.153999999995,217222.68271356332,60117.55095825742,15442.5747135633,36314.314999999995,19979.872000000003,19404.142999999996,14682.268057287338,10380.526000000003
Publishing & Newspapers,19,71.6842105263158,35331.804000000004,14219.276000000002,40832.23664299843,11769.602944521914,8458.389642998427,24027.344,12119.914999999999,3570.068,2363.7074714003147,1967.199
R.E.I.T.,190,24.775956284153004,1242113.5479999997,554313.3209999998,2247550.76853894,1576350.3935389388,1049126.284538939,211026.32000000004,122553.89999999995,100770.60300000005,46867.855492212264,27926.05199999999
Real Estate (Development),14,14.461538461538462,6579.504000000001,5141.718,11259.212791131042,11267.89079113104,6699.867791131041,3711.61,1309.1000000000001,1004.3480000000001,786.5620417737921,260.199
Real Estate (General/Diversified),12,51.36363636363637,4734.186999999999,2166.5,6700.556560095822,5892.069560095825,2535.6395600958244,981.5999999999999,502.88,334.31,216.81208798083514,233.28
Real Estate (Operations & Services),54,37.54,138042.19099999993,40300.03799999999,163492.9859827703,45439.28298277044,34016.74498277041,111680.86300000001,35977.514,6610.973000000002,3084.9268034459155,1331.2250000000004
