Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Machinery,105,0.9636207903494385,0.16423121638505028,0.08247748724958495,0.08175372913546533,126678.012,10356.399880467226,0.24408325788322105,0.07699565637316959,0.16708760151005148,112585.86933282952,18811.702870746543,0.871898101669845,0.45034116660736356,0.052913,0.13373442732400442,0.039684750000000005,0.128101898330155
Metals & Mining,73,1.0430314762308461,0.17794348748808222,0.08601920383989574,0.09192428364818649,36047.91099999999,3313.678395688581,0.2704361776786952,0.08197386647097057,0.18846231120772464,52216.92445154385,9840.922266297102,0.9010265471692787,0.7756025957468325,0.060195,0.02516414295193868,0.04514625,0.0989734528307213
Office Equipment & Services,14,1.334375038621748,0.1322566194736466,0.09901312672252996,0.033243492751116654,4493.673,149.38538580138862,0.18260160203320722,0.07919785997210449,0.10340374206110273,7037.829197377066,727.7378749956757,0.6752081563051134,0.3960756696465002,0.050671999999999995,0.12297383351664745,0.038003999999999996,0.32479184369488656
Oil/Gas (Integrated),4,0.2993819796439979,0.09957502140399105,0.05285243629212231,0.04672258511186874,451434.5,21092.18684868391,0.0844906040235468,0.05073966589573278,0.03375093812781402,532912.9440525669,17986.311802229397,0.878387259305869,0.2026827904588578,0.047306,0.2824095529705382,0.0354795,0.12161274069413096
Oil/Gas (Production and Exploration),142,0.72140595546977,0.12211066139642923,0.07167470561395174,0.05043595578247749,290393.75100000016,14646.286384943787,0.13731095270967508,0.06247619033696484,0.07483476237271025,424137.5838865959,31740.235303488866,0.7268095482627659,0.42219200974609405,0.050671999999999995,0.06664478996170788,0.038003999999999996,0.2731904517372341
Oil/Gas Distribution,23,0.6692224517144899,0.18032702415722426,0.06934732134646625,0.11097970281075802,78852.768,8751.05675844565,0.12351055159122301,0.057775581011015355,0.06573497058020766,204077.03041160063,13414.997590202713,0.6308068246010716,0.42240372453265573,0.050671999999999995,0.09166185880832112,0.038003999999999996,0.36919317539892843
Oilfield Svcs/Equip.,97,0.9512418716285248,0.08646041260503463,0.08192538747463221,0.004535025130402423,176793.67400000012,801.763754486174,0.11937951003115008,0.07043638484807473,0.04894312518307535,240535.5383741355,11772.56096562374,0.7280106713953535,0.4831643535406242,0.052913,0.08746367186047936,0.039684750000000005,0.27198932860464653
Packaging & Container,19,1.0219297750432532,0.12293731853965369,0.0850780679669291,0.03785925057272459,40505.406,1533.5043153039421,0.14816927195835602,0.06745596737321397,0.08071330458514206,61886.54527309754,4995.067578349705,0.6447054559021737,0.25447909143998576,0.047306,0.1557025871337487,0.0354795,0.3552945440978263
Paper/Forest Products,6,0.9579784309693652,0.07013649983353679,0.08222583802123369,-0.012089338187696905,5406.6,-65.3622158456021,0.1041420566237548,0.0692912835074329,0.0348507731163219,6411.96542499249,223.46195225611376,0.6959514879510198,0.5694450238249283,0.052913,0.08598511133455124,0.039684750000000005,0.30404851204898026
Power,46,0.4824326713170223,0.12399093984234143,0.061016497140739194,0.06297444270160224,402641.9999999998,25356.155558258517,0.06921872420290816,0.050143407587657896,0.019075316615250262,1056586.4590482418,20154.72123773137,0.5742220789250334,0.25379988697855693,0.047306,0.12748334654668436,0.0354795,0.42577792107496654
Precious Metals,56,0.8365606512291942,0.23523056888876692,0.07681060504482207,0.15841996384394486,44129.153999999995,6990.938981143874,0.25451637862422194,0.0746615642309349,0.17985481439328704,54124.794158257406,9734.604807408252,0.9321305988754509,0.6994720354601837,0.060195,0.05974812957530874,0.04514625,0.06786940112454905
Publishing & Newspapers,19,0.563007176601541,0.13834733920348685,0.06461012007642873,0.07373721912705812,14219.276000000002,1048.4898702401185,0.17632773244458913,0.059470957360467105,0.11685677508412202,12153.897144521914,1420.2652250129502,0.8068428353627335,0.35925309700015134,0.050671999999999995,0.10205812286876828,0.038003999999999996,0.19315716463726645
R.E.I.T.,190,0.6417984635762964,0.05037954337741777,0.06812421147550282,-0.017744668098085052,554313.3209999998,-9836.105903492275,0.03203080280639824,0.05317666020925714,-0.021145857402858903,1440092.0784337278,-30451.981737546306,0.5421141559954485,0.2636928702689285,0.047306,0.01581382585274235,0.0354795,0.4578858440045514
Real Estate (Development),14,0.8435660615974878,0.05060545910919269,0.07712304634724795,-0.026517587238055265,5141.718,-136.34595561847902,0.07043355884782262,0.058234228427467324,0.0121993304203553,10619.44679113104,129.5501402863894,0.4954680163706453,0.5210233738934074,0.052913,0.04907001511578525,0.039684750000000005,0.5045319836293547
Real Estate (General/Diversified),12,0.8099864769457396,0.10767597507500577,0.07562539687177999,0.03205057820322578,2166.5,69.43757767728866,0.05194923071492735,0.06250344665390668,-0.01055421593897933,3979.5395600958245,-42.00091985496214,0.6512104464755757,0.31209535325023385,0.050671999999999995,0.046482967477014005,0.038003999999999996,0.34878955352442437
Real Estate (Operations & Services),54,0.9654974066610451,0.03303284726431277,0.08256118433708262,-0.04952833707276985,40300.03799999999,-1995.9938661094334,0.059426974075348735,0.07408434049119778,-0.01465736641584904,49012.57690832845,-718.3952987303516,0.802295970340205,0.505596255690735,0.052913,0.08697440271481936,0.039684750000000005,0.19770402965979508
Recreation,49,1.0234727002249695,-0.1276115597172532,0.08514688243003364,-0.21275844214728684,20412.610000000004,-4342.9551037601295,0.08024512691065157,0.0675772489837691,0.012667877926882468,49102.90316927546,622.0295832039118,0.6135325707982515,0.4830813033858449,0.052913,0.11454512843876968,0.039684750000000005,0.3864674292017484
Reinsurance,1,0.5813323223955235,0.07791857643569695,0.06542742157884035,0.012491154856856604,11127.0,138.98908009224343,0.10144338115914428,0.05635389895782815,0.04508948220131613,11076.611871569648,499.4386938340266,0.6970232943503138,0.1921142517209114,0.047306,0.3035856573705179,0.0354795,0.30297670564968615
Restaurant/Dining,64,0.9240873147803257,0.0010275118300474612,0.08071429423920252,,1604.2470000000003,,0.18360436293768279,0.07157604548474453,0.11202831745293826,127944.40579165489,14333.396508355067,0.786041072363527,0.411494619604859,0.050671999999999995,0.09916012680622868,0.038003999999999996,0.21395892763647292
Retail (Automotive),34,0.9360151956832995,0.34384064730254443,0.08124627772747516,0.26259436957506926,27659.4,7263.202705824671,0.12190476293616061,0.06775334495577662,0.05415141798038399,120853.44524856325,6544.3854280244,0.687968962765219,0.44582095697030294,0.050671999999999995,0.10773098945749512,0.038003999999999996,0.31203103723478104
Retail (Building Supply),14,1.5353094340291733,,0.10797480075770113,,-5916.2,,0.3494656524485739,0.09507487396524136,0.2543907784833326,84654.35948689509,21535.288411879133,0.8111009341868876,0.45883505690255144,0.052913,0.11839851054454309,0.039684750000000005,0.1888990658131124
Retail (Distributors),62,0.9484338145727029,0.1833373242733274,0.08180014812994255,0.10153717614338487,77771.98700000001,7896.747943040039,0.1611399066695283,0.07215667392072084,0.08898323274880746,128842.59820597363,11464.830904123233,0.7798099919515831,0.3929235163979659,0.050671999999999995,0.14586482228388625,0.038003999999999996,0.22019000804841693
