Industry Name,Number of firms,Beta ,D/E Ratio,Effective Tax rate,Unlevered beta,Cash/Firm value,Unlevered beta corrected for cash,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2022,2023,2024,2025,Average (2022-2026)
Insurance (Life),20,0.6444930925180267,0.6783987776748907,0.15186017647763664,0.4271563388858468,0.1966940474769901,0.5317480065275768,0.23176202865660195,0.3515193422631459,0.2826197882400568,0.8829882032543376,0.6674646710271233,0.54,0.62,0.6484401761618075
Insurance (Prop/Cas.),57,0.4841100151289049,0.1482928711512957,0.1836669176395358,0.43565645519640217,0.046752606734882574,0.4570234949231456,0.2677137310292105,0.28696879528535113,0.37897491601347943,0.7847772659651794,0.7295385474975669,0.68,0.57,0.6442678616771784
Investments & Asset Management,283,0.6595817512663942,0.3268818496772947,0.03534923619833761,0.5297158729912839,0.0992207600520097,0.588064033338367,0.24979176761115496,0.3004225728309703,0.23005006998146274,0.9651176049094974,0.5377530864305458,0.39,0.5,0.596186944935682
Machinery,105,0.9636207903494385,0.14692301552763604,0.13373442732400442,0.8679764970807725,0.029141915386561183,0.8940302510086939,0.43866071672945106,0.45034116660736356,0.2340381783370222,1.1782642967693542,1.0938250803149925,0.94,0.98,1.0172239256186082
Metals & Mining,73,1.0430314762308461,0.10984521282049067,0.02516414295193868,0.963642813760502,0.046322445348490886,1.0104492960544031,0.7046547159245414,0.7756025957468325,0.5366805984370316,1.1279972137776122,1.2191906966167014,0.91,0.96,1.0455274412897433
Office Equipment & Services,14,1.334375038621748,0.4810247634925184,0.12297383351664745,0.980603950937201,0.055467908881732406,1.0381901897861687,0.4264799643054135,0.3960756696465002,0.14219901129026088,1.111467824035779,0.8448370751926576,0.88,0.96,0.966899017802921
Oil/Gas (Integrated),4,0.2993819796439979,0.13845002805508974,0.2824095529705382,0.2712192455295165,0.024405283836666014,0.2780040123588666,0.15721649319411557,0.2026827904588578,1.0655664681976957,1.250926196365303,0.946268369906833,0.64,0.46,0.7150397157262005
Oil/Gas (Production and Exploration),142,0.72140595546977,0.37587625587778695,0.06664478996170788,0.562759894026207,0.027276696052157344,0.5785405692885324,0.5045189633960516,0.42219200974609405,1.854877982726361,1.1279889221313977,1.1361280842130776,0.82,0.75,0.8825315151266014
Oil/Gas Distribution,23,0.6692224517144899,0.5852713715207659,0.09166185880832112,0.4650757918129057,0.008908789544758232,0.46925629740907565,0.4564611173153585,0.42240372453265573,0.5691583913604785,0.8645108713214169,0.656489918658282,0.53,0.55,0.6140514174777548
Oilfield Svcs/Equip.,97,0.9512418716285248,0.37360623860545034,0.08746367186047936,0.7430388962534321,0.055928142862870525,0.7870575641420728,0.4765813226700708,0.4831643535406242,0.8220638280133856,1.1791731857829815,1.1869387038702228,0.85,0.78,0.9566338907590554
Packaging & Container,19,1.0219297750432532,0.55109591650755,0.1557025871337487,0.7230693503118022,0.03460978570776237,0.7489917958635104,0.38154365295589976,0.25447909143998576,0.1313982974075153,0.7782958213072473,0.6704997219078969,0.81,0.74,0.749557467815731
Paper/Forest Products,6,0.9579784309693652,0.43688176160689357,0.08598511133455124,0.7215533176034462,0.06252225788526006,0.7696751455408247,0.46710221978809086,0.5694450238249283,0.6728697636294969,0.9984958405826988,1.1258403034857074,1.59,0.96,1.0888022579218462
Power,46,0.4824326713170223,0.7414865026995126,0.12748334654668436,0.31002381536217716,0.0144784011965326,0.31457840775745605,0.22344962815356856,0.25379988697855693,0.1703543582940092,0.5574641631069509,0.4640263901945677,0.39,0.34,0.41321379221179494
Precious Metals,56,0.8365606512291942,0.07281104300881082,0.05974812957530874,0.7932430128835662,0.04531636337243584,0.8308962073401722,0.7326706104991456,0.6994720354601837,0.6760254149560369,0.9873774941222514,1.1872086171220402,0.83,1.15,0.9970964637168928
Publishing & Newspapers,19,0.563007176601541,0.2393987480231246,0.10205812286876828,0.47730712965508676,0.06754838821026646,0.511884073790114,0.3069368107166666,0.35925309700015134,0.12151893101077439,1.4642640113348089,0.9141555268995404,0.82,0.56,0.8540607224048926
R.E.I.T.,190,0.6417984635762964,0.844629934379348,0.01581382585274235,0.39290436962561487,0.019067870320492734,0.40054184967311207,0.25934541449375126,0.2636928702689285,0.23197729211948212,0.9882216516797577,0.6855568332302365,0.66,0.59,0.6648640669166213
Real Estate (Development),14,0.8435660615974878,1.0182937484544488,0.04907001511578525,0.4782878873556669,0.15212760300522743,0.564103618717777,0.6069532024375857,0.5210233738934074,0.8138820471471423,0.7424411801966027,0.8838048274406524,0.43,0.62,0.6480699252710065
Real Estate (General/Diversified),12,0.8099864769457396,0.5356019016772732,0.046482967477014005,0.57785949402086,0.07830585713347422,0.6269536358598106,0.46251713640767406,0.31209535325023385,0.46672027676013644,0.8332663411468256,0.6649391588559308,0.51,0.74,0.6750318271725135
Real Estate (Operations & Services),54,0.9654974066610451,0.24642281273824773,0.08697440271481936,0.8148915126864962,0.04978497600878914,0.8575864326620388,0.4308207605315895,0.505596255690735,0.29708489046465847,0.8711247503573315,0.8050206047433183,0.88,0.95,0.8727463575525377
Recreation,49,1.0234727002249695,0.6299053181462322,0.11454512843876968,0.6950913817523879,0.05622187183502513,0.7364987182992697,0.5364508541827235,0.4830813033858449,0.2509204466620062,1.073632586741868,1.0754929270701692,0.85,0.93,0.9331248464222615
Reinsurance,1,0.5813323223955235,0.4346722815513458,0.3035856573705179,0.43840910722706555,0.24111508039357982,0.5777016987693434,0.1879557391260007,0.1921142517209114,0.21973631342520947,1.2950268765575916,0.8316073808059627,0.61,0.58,0.7788671912265795
Restaurant/Dining,64,0.9240873147803257,0.2721981524363927,0.09916012680622868,0.767419655502052,0.01990750943642716,0.7830073823550779,0.49137844689177756,0.411494619604859,0.2209813352724318,1.332165894153193,1.1660017105464549,1.02,0.87,1.034234997410945
